City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Sefton,-43.25,172.6667,48.99,100,98,2.3,NZ,2021-04-25 19:40:24
229,Torbay,47.6666,-52.7314,53.6,35,20,23.02,CA,2021-04-25 19:40:24
230,Laguna,38.421,-121.4238,64.0,51,90,8.05,US,2021-04-25 19:40:24
231,Hurghada,27.2574,33.8129,78.8,38,0,8.05,EG,2021-04-25 19:36:16
232,Gamba,-2.65,10.0,78.69,87,86,4.45,GA,2021-04-25 19:40:26
233,Santa Maria,-29.6842,-53.8069,71.6,56,75,5.75,BR,2021-04-25 19:36:28
234,Jumilla,38.4792,-1.325,54.0,84,85,13.0,ES,2021-04-25 19:40:27
235,Umm Lajj,25.0213,37.2685,82.62,47,0,2.21,SA,2021-04-25 19:40:27
236,Itarema,-2.9248,-39.9167,81.03,74,16,11.41,BR,2021-04-25 19:40:28
237,Okha,53.5739,142.9478,19.99,86,5,5.1,RU,2021-04-25 19:40:28
238,Serebryansk,49.6925,83.2892,30.2,55,20,4.47,KZ,2021-04-25 19:40:29
239,Fort Nelson,58.8053,-122.7002,51.8,22,40,11.5,CA,2021-04-25 19:40:29
240,Bumba,2.1833,22.4667,70.43,98,100,4.14,CD,2021-04-25 19:40:29
241,Aguimes,27.9054,-15.4461,70.0,68,40,9.22,ES,2021-04-25 19:40:30
242,Abu Kamal,34.4506,40.9171,84.09,16,34,13.18,SY,2021-04-25 19:40:30
243,Along,28.1667,94.7667,65.37,58,4,2.08,IN,2021-04-25 19:37:14
244,Port Hardy,50.6996,-127.4199,50.0,87,90,6.91,CA,2021-04-25 19:40:30
245,Nanortalik,60.1432,-45.2371,41.86,75,100,12.8,GL,2021-04-25 19:40:31
246,Ulaanbaatar,47.9077,106.8832,32.0,80,75,8.95,MN,2021-04-25 19:37:07
247,Husavik,66.0449,-17.3389,39.2,93,90,14.97,IS,2021-04-25 19:40:32
248,Port Lincoln,-34.7333,135.8667,59.31,80,7,7.45,AU,2021-04-25 19:40:32
249,Chakia,26.4167,85.05,80.35,10,53,7.07,IN,2021-04-25 19:40:33
250,Koping,59.514,15.9926,35.01,86,40,3.44,SE,2021-04-25 19:40:33
251,Cozumel,20.5083,-86.9458,89.6,51,40,6.91,MX,2021-04-25 19:40:34
252,Gorokhovets,56.1947,42.7003,41.0,60,90,20.13,RU,2021-04-25 19:40:34
253,Whitehorse,60.7161,-135.0538,53.01,27,1,2.3,CA,2021-04-25 19:40:35
254,Dongying,37.4564,118.4856,53.6,44,98,1.12,CN,2021-04-25 19:40:35
255,Rassvet,46.8333,40.75,45.79,63,100,6.2,RU,2021-04-25 19:40:35
256,Moskhaton,37.95,23.6667,57.2,54,0,7.47,GR,2021-04-25 19:40:36
257,Nouadhibou,20.931,-17.0347,68.0,77,0,16.11,MR,2021-04-25 19:40:28
258,Poum,-20.2333,164.0167,76.82,78,98,18.3,NC,2021-04-25 19:36:55
259,Sinonoc,8.3096,123.8461,76.98,81,97,2.33,PH,2021-04-25 19:40:38
260,Nikolskoye,59.7035,30.7861,39.0,93,90,8.95,RU,2021-04-25 19:40:38
261,Oriximina,-1.7656,-55.8661,83.57,79,85,3.29,BR,2021-04-25 19:40:38
262,Mutis,6.2262,-77.4044,82.47,81,96,8.61,CO,2021-04-25 19:40:39
263,Maumere,-8.6199,122.2111,79.72,72,98,8.05,ID,2021-04-25 19:40:39
264,Baringo,0.4667,35.9667,72.73,70,100,2.91,KE,2021-04-25 19:40:40
265,San Jeronimo,-11.9472,-75.2829,64.22,46,46,5.7,PE,2021-04-25 19:40:41
266,Dalvik,65.9702,-18.5286,39.2,93,90,14.97,IS,2021-04-25 19:40:41
267,Maarianhamina,60.0973,19.9348,35.6,75,75,12.66,AX,2021-04-25 19:40:41
268,Bakchar,57.0186,82.0711,32.34,96,100,2.91,RU,2021-04-25 19:40:42
269,Provideniya,64.3833,-173.3,33.8,75,0,2.39,RU,2021-04-25 19:40:42
270,Lompoc,34.6391,-120.4579,59.0,67,100,8.05,US,2021-04-25 19:40:29
271,Moju,-1.8839,-48.7689,82.4,83,75,9.22,BR,2021-04-25 19:40:43
